	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
ablennes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.16411307	0	0	0	0	0	0
abudefduf	9852.403502	45841.94112	833.292042	1061.80974	938.6794452	0	1174.857853	451.6788681	0	7452.311088	21719.00299	44126.70193	12211.44611	8.772243562	3329.956954	5447.714703	0	24961.94462	345.6068815	68704.6504	2279.284674	73813.33882	35629.42253	36254.36877
acanthemblemaria	0	0	0	0	0	0.929128799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acanthistius	0	210.4339483	0	0	0	0	0	0	0	0	0	0	492.7747988	0	0	0	0	0	0	0	0	0	0	0
acanthostracion	107.3296358	1379.719812	37.92794263	212.3432195	0	0	544.6998425	47.00426616	546.7170831	1717.502106	0	146.9083054	0	192.8137061	1073.987956	220.95052	0	852.6755926	28.03538322	146.9083054	230.8909362	162.7222852	0	5081.244105
acanthurus	52752.33428	59293.47093	4042.398614	15830.12272	1520.503502	144.9289029	13076.83604	13836.26626	0	36393.47029	2507.484477	57661.39968	11597.83682	8009.036362	21603.09732	38288.02007	143.5152918	81933.99606	356.0290116	393059.8913	7912.100531	2041.783047	0	95737.9904
aetobatus	0	0	0	0	0	0	0	3521.784704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
albula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.1787486	0	0	0	67576.97274	0	0	0	0
alectis	0	0	0	0	0	0	0	0	0	0	0	0	0	1246.943672	0	0	0	0	0	0	0	0	0	0
alphestes	0	0	0	0	0	0	0	0	0	603.9710773	0	0	0	0	0	0	0	643.4933968	0	0	0	0	0	0
aluterus	0	0	0	0	0	0	0	194.3913824	0	0	0	0	0	0	93.68571788	159.211874	0	0	0	791.2095282	0	68.71372849	3227.898547	5706.086944
amblycirrhitus	0	1.421437993	1.170799874	12.96481457	0	0	12.91351727	0	0	271.54273	0	0	0	0	9.67028014	0.710718996	0	302.8560985	0	0	4.975032974	0	0	16.51840955
amphichthys	0	0	0	0	0	0	0	0	0	0	0	0	0	125.0719836	0	0	0	0	0	0	0	0	0	0
