	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
1_c1	0	0	0	0	0	0	0	0	19300.22035	0	0	0	0	0	0	0	8605.306407	0	0	0	0	0	0	0
1_c2	73.08991569	671.0456441	2.978875056	116.1186866	4.917290506	0.929128799	49.45785069	1.388165874	0	691.6554262	176.0252284	669.0398216	62.99041196	113.2124015	38.94893989	50.40866483	0.694082937	1784.145918	22.54090166	1.181561872	722.0247397	56.65319574	139.0412404	12712.2024
1_d	0	1.163148505	0.922776875	117.477999	0	18.61037608	1357.7454	0	0	0	0	0	0	0	100.4966581	0	4.870447081	35.71760675	0	0	0	1.946227944	0	2.32629701
1_h2	0	29.67926516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_z	0	0	0	0	0	361.7391851	7158.361034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5291631	0
2_c1	62.11356718	2176.05777	52.73399083	20261.81117	91.69484208	0	386.283404	233.9149964	7.396841719	357.0134938	336.8741992	441.826054	8.967239345	58.0247555	659.2867732	0	0	78522.67643	3.42606127	0	5588.695748	1659.682461	0	0
2_c2	717.0939542	16755.46176	2616.402441	672.9362881	11.84487552	119.9150471	5993.111518	1298.300174	1527.918908	3443.589943	311.7242196	876.7676079	71.25172142	454.9633105	2849.851816	1105.774151	480.4894682	2222.921059	64.23476688	2755.881306	137.7405237	1852.096045	757.4818174	774.2065887
2_c3	7.233198736	661.849702	442.7658692	0	0	18.80993711	1676.135231	1194.430017	98.59148419	614.1987866	95.30183082	660.7608617	80.83543335	0	4736.637142	0	2.175223074	3.679181996	0	0	177.9779209	7795.079978	0	369.0055213
2_d	87.87825956	1569.025768	0	3.489445516	263.6145523	0	201.5309543	39.6593548	0	65.13631629	1134.723067	1213.914511	12.04303654	7.118374107	0	434.6941605	0	13.95778206	2.737848497	13934.20335	2867.161065	4303.011498	0	201.3311658
2_h2	3582.638491	51806.70689	2519.406603	4.748452993	15678.16548	114.0023598	31738.37986	8608.408116	1110.089487	7846.024075	2617.176193	20749.46344	1964.403834	503.700188	4784.937323	2322.71636	443.5185605	4075.946608	125.047221	25110.54341	4110.83991	43777.81639	36785.42507	15263.35257
2_p	0	54.16504144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_z	0	1108.553897	690.3781092	534.1231028	0	45.37496766	9300.96163	3159.116711	23.23979179	690.4501595	1376.531246	5064.881811	1052.191468	86.15975428	13830.84206	2424.502639	49.04668508	6486.486515	0	37310.24518	929.2618361	224.4480159	1.715915483	50848.35125
3_c1	50796.57456	85390.23482	1453.134458	82422.7696	8187.94198	194.6373618	6675.671369	9525.613785	24095.52494	37607.27234	15906.9042	251339.8308	93740.45636	6563.736988	10404.97228	28798.08534	7353.189058	152418.4503	813.7212129	13142.76195	69718.67016	165049.5553	0	118071.8283
3_c2	2165.440188	95237.82723	311.3466815	531.4045977	360.5542417	0	910.333898	1027.417219	215.7077409	7236.570381	3302.771477	6800.891512	1210.553527	106.0120557	1119.810019	519.6703467	93.15012464	592.9884698	1822.960865	0	675.5130178	22285.26089	1916.784343	4818.468881
3_c3	794.9890694	954.4096543	627.9119811	0	0	3.006000857	519.4321766	1143.93686	0	4233.46753	54.36280965	1790.539044	291.4379515	0	1754.021337	0	0	7747.391187	0	0	32.81278138	875.1357446	13758.0516	36117.6105
3_h2	764.0060169	4994.398995	9562.804923	143.5685872	465.2498795	511.9095717	26211.6536	14117.54235	0	508.7103011	50.56677266	667.4633826	39.28106757	493.994452	20741.98095	436.8734688	2.775386579	4373.384599	0	59.72392756	275.0272938	942.9860341	0	12274.05004
3_p	0	1589.388507	0	0	0	0	300.5714702	0	0	0	21.12668622	54.55399061	21.12668622	0	0	0	0	0	66.32682822	0	136.255354	5.893539122	0	113.3734164
3_z	9852.403502	77501.39992	8301.347848	21464.49468	1506.598215	224.8439097	50539.75514	782.5306488	0	18690.12411	22212.99094	93214.83646	25142.586	630.7498788	9756.776749	12495.59788	10461.75429	95211.63849	1803.861001	72392.84588	28949.17112	80956.74678	168281.8081	162577.9946
4_c1	37390.42764	18029.21578	3288.911653	17603.33774	4748.773311	277.3133407	24490.52788	26731.85904	6354.073921	27659.00791	3152.233514	151206.2158	49480.57009	44011.88062	110086.368	56880.80924	7926.410542	61411.73374	285.1089321	60974.88246	19335.59309	71553.15423	13154.81436	997796.2572
4_c2	0	6281.452025	0	719.4202576	0	0	177.0460072	0	0	253.8475788	107.4707747	107.4707747	214.9415495	0	6.283254304	0	0	13418.21201	22.56258351	0	0	263.7103783	302.7359217	107.4707747
4_c3	742.1112899	1724.39032	177.8793647	5210.596728	0	29.75532634	599.0400491	27229.05918	1407.580409	6469.750985	0	523.0184071	192.6182432	441.4574385	2683.156763	220.95052	468.7713528	11440.22622	0	146.9083054	2575.18583	394.6621361	23737.02629	4811.281969
4_h1	0	31639.93301	561.5209319	0	0	88.51350104	463.3745521	0	0	27253.34748	8053.119112	20777.49148	22765.15046	0	2796.074828	13119.05012	0	0	1708.782604	11206.29287	0	143767.3753	812977.5385	1571740.832
4_h2	81699.75154	85901.68249	6454.976565	21165.77134	5509.193957	171.970612	26254.73251	19127.59108	179.5062563	48160.43324	4954.180484	145094.445	36102.11805	25985.94239	28838.19488	73951.91738	143.5152918	157754.248	356.0290116	429102.8053	13419.16444	21687.09516	6466.107281	157673.4609
4_p	83.56215395	781.2399913	22.26572434	0	61.2528739	0	464.9282624	0	0	4429.147539	71.81024493	4021.248369	386.9494941	0	16.44844188	442.9076953	0	4121.087621	0	849.7021767	553.1189655	631.3438232	0	156.5909118
4_z	0	372.2976394	96.10972377	0	0	0	429.1019956	0	1734.410178	1.357237286	0	608.684017	975.6846712	0	0	672.0714979	74249.8292	13273.53065	0	133.403023	7600.265602	1435.980269	0	10846.67539
5_c1	20129.95587	8738.453518	2221.068971	66302.1808	1425.737807	134.3465293	4450.607536	27285.1264	2607.962063	5457.93107	220.369579	21116.14154	6107.187624	22488.42958	36228.7249	12386.73646	1163.759208	47721.79903	0	28734.22299	10058.57462	11184.35599	65293.44255	91510.26212
5_c2	31.43606603	2055.255032	56.04762972	95.46766683	25.44856253	0	268.3948584	73.42840074	0	3078.964155	0	68.8385509	279.9341879	0	561.9452379	25.44856253	0	404.9581231	25.44856253	170.053373	278.4356393	0	89.14108354	1222.637582
5_c3	0	330.2708095	0	212.3432195	0	0	1.76041511	194.3913824	546.7170831	595.6435676	0	0	0	0	66.39574732	43.34786289	0	113.4713459	28.03538322	0	123.5613004	157.393799	0	269.9621357
5_d	0	1172.194579	0	0	0	0	0	0	0	0	0	275.7385767	0	0	0	0	0	0	0	0	0	723.4491926	0	0
5_h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.97241275	0	0	0	0	0	5.371551594
