	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
1_c1_3_1	0	0	0	0	0	0	0	0	19300.22035	0	0	0	0	0	0	0	8605.306407	0	0	0	0	0	0	0
1_c2_1_1	47.2624749	671.0456441	2.978875056	46.08091302	4.917290506	0.929128799	49.45785069	1.388165874	0	47.08421173	176.0252284	669.0398216	62.99041196	0	38.94893989	50.40866483	0.694082937	6.114413364	22.54090166	1.181561872	382.7081851	56.65319574	139.0412404	5113.435639
1_c2_1_3	25.82744079	0	0	5.437355956	0	0	0	0	0	54.37355956	0	0	0	27.15032115	0	0	0	0	0	0	0	0	0	0
1_c2_3_1	0	0	0	64.60041765	0	0	0	0	0	590.197655	0	0	0	86.06208033	0	0	0	1778.031505	0	0	339.3165546	0	0	7598.766765
1_d_1_3	0	1.163148505	0.922776875	117.477999	0	18.61037608	1357.7454	0	0	0	0	0	0	0	100.4966581	0	4.870447081	35.71760675	0	0	0	1.946227944	0	2.32629701
1_h2_2_1	0	29.67926516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_z_1_5	0	0	0	0	0	361.7391851	7158.361034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1_z_2_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5291631	0
2_c1_2_1	8.967239345	2140.007979	52.73399083	167.1820908	0	0	386.283404	233.9149964	7.396841719	357.0134938	336.8741992	441.826054	8.967239345	58.0247555	659.2867732	0	0	72.18789967	3.42606127	0	2029.714681	1659.682461	0	0
2_c1_2_3	0	36.04979078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_c1_3_5	53.14632783	0	0	20094.62908	91.69484208	0	0	0	0	0	0	0	0	0	0	0	0	78450.48853	0	0	3558.981068	0	0	0
